epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.3051644265651703,0.3484457731246948,0.22947724163532257,0.36137524247169495
1,0.06355420500040054,0.159803107380867,0.17221742868423462,0.30255669355392456
2,0.0508330762386322,0.14143069088459015,0.14729970693588257,0.27666184306144714
3,0.03373919799923897,0.11465264111757278,0.12807698547840118,0.2535875737667084
4,0.027643714100122452,0.10080649703741074,0.11865485459566116,0.24170593917369843
5,0.026470206677913666,0.09699542075395584,0.11764027923345566,0.24457667768001556
6,0.026654934510588646,0.09972839802503586,0.11051717400550842,0.2290734052658081
7,0.020815866068005562,0.08447844535112381,0.10339555144309998,0.22054509818553925
8,0.018278654664754868,0.07756523042917252,0.0997379794716835,0.21561630070209503
9,0.018300339579582214,0.07719527184963226,0.10510004311800003,0.21954244375228882
10,0.017241528257727623,0.07424550503492355,0.10266485065221786,0.21507953107357025
11,0.01634785160422325,0.07192571461200714,0.09866422414779663,0.2111813873052597
12,0.016437729820609093,0.0739653930068016,0.09901905059814453,0.20996339619159698
13,0.01581456884741783,0.06968497484922409,0.09323183447122574,0.20377357304096222
14,0.016072148457169533,0.07001683115959167,0.0945984497666359,0.20413480699062347
15,0.015115555375814438,0.06722245365381241,0.0928981676697731,0.20211414992809296
16,0.01422315277159214,0.06558021903038025,0.09058066457509995,0.19902054965496063
17,0.013912773691117764,0.06412157416343689,0.09094729274511337,0.2004867047071457
18,0.013830553740262985,0.06381285190582275,0.09061294794082642,0.19849546253681183
19,0.013553045690059662,0.06277885288000107,0.08798015117645264,0.1962849348783493
20,0.014715473167598248,0.06653450429439545,0.09336390346288681,0.20513860881328583
21,0.013102881610393524,0.06498159468173981,0.08872909098863602,0.19700825214385986
22,0.014484281651675701,0.0686550959944725,0.10202936083078384,0.21256494522094727
23,0.012447274290025234,0.06277137994766235,0.08870691061019897,0.1940891593694687
24,0.012127256952226162,0.059376347810029984,0.08530902862548828,0.19035615026950836
25,0.013215428218245506,0.06422696262598038,0.08910389989614487,0.19368703663349152
26,0.012363405898213387,0.059774208813905716,0.0876230001449585,0.1916273683309555
27,0.012642381712794304,0.06063491851091385,0.08426579087972641,0.19002552330493927
28,0.012246738187968731,0.06094053387641907,0.08774366229772568,0.1917852908372879
29,0.011703376658260822,0.0570276714861393,0.08785947412252426,0.19106341898441315
30,0.011955920606851578,0.058995116502046585,0.08793456107378006,0.1948731690645218
31,0.013106733560562134,0.06439454853534698,0.08938062191009521,0.19165943562984467
32,0.011199722066521645,0.05540863797068596,0.08827433735132217,0.19022910296916962
33,0.01226292084902525,0.05973745137453079,0.08896034210920334,0.1952146738767624
34,0.01241556741297245,0.06387603282928467,0.08317214995622635,0.18450570106506348
35,0.011804317124187946,0.057840775698423386,0.09076967090368271,0.19318823516368866
36,0.011118517257273197,0.05633851885795593,0.08588363975286484,0.18750838935375214
37,0.010754484683275223,0.055334948003292084,0.08432832360267639,0.18639816343784332
38,0.010965556837618351,0.05479472130537033,0.08268871903419495,0.18331776559352875
39,0.01123307179659605,0.05607355386018753,0.08881788700819016,0.18942780792713165
40,0.011587037704885006,0.05821307376027107,0.08994951099157333,0.19293057918548584
41,0.010787509381771088,0.0564432367682457,0.09036054462194443,0.19101344048976898
42,0.01104324497282505,0.058199528604745865,0.08427699655294418,0.18395543098449707
43,0.011390873230993748,0.05601898953318596,0.08613888174295425,0.18619279563426971
44,0.010840235278010368,0.053811538964509964,0.08324183523654938,0.18325704336166382
45,0.010931754484772682,0.056006208062171936,0.08151067048311234,0.1817447692155838
46,0.011259184218943119,0.05557059496641159,0.08626272529363632,0.18755118548870087
47,0.01030480582267046,0.052937474101781845,0.08352454751729965,0.18353550136089325
48,0.011138377711176872,0.05541200563311577,0.08650258183479309,0.18713848292827606
49,0.013179210014641285,0.06573332101106644,0.08441615849733353,0.1861628293991089
50,0.011660673655569553,0.05992024764418602,0.08359947800636292,0.18472369015216827
51,0.01127832941710949,0.055591534823179245,0.07962603121995926,0.17864768207073212
52,0.010902592912316322,0.054125089198350906,0.08555784076452255,0.18463444709777832
53,0.010847050696611404,0.05389662832021713,0.08243260532617569,0.18127931654453278
54,0.010459303855895996,0.05304931104183197,0.08041927963495255,0.18032020330429077
55,0.009700184687972069,0.05111539736390114,0.08020705729722977,0.17946858704090118
56,0.010153692215681076,0.05138329789042473,0.07909412682056427,0.17831028997898102
57,0.010175544768571854,0.05205639824271202,0.08191480487585068,0.18035240471363068
58,0.010291533544659615,0.05166814848780632,0.08050229400396347,0.1797298640012741
59,0.010171976871788502,0.05219403654336929,0.08306795358657837,0.1816622018814087
60,0.009611640125513077,0.05046429485082626,0.08786923438310623,0.18758408725261688
61,0.009954911656677723,0.051994141191244125,0.081999272108078,0.1808515340089798
62,0.010831929743289948,0.054463621228933334,0.08478804677724838,0.1830381155014038
63,0.010893074795603752,0.05687630921602249,0.08474739640951157,0.1841549426317215
64,0.009862376376986504,0.051392219960689545,0.08110887557268143,0.17934052646160126
65,0.010207409039139748,0.05308735743165016,0.08345314115285873,0.18200691044330597
66,0.01012023352086544,0.05199452117085457,0.08666383475065231,0.18678657710552216
67,0.010863672941923141,0.054448649287223816,0.08457071334123611,0.1850719004869461
68,0.010349957272410393,0.056000836193561554,0.08849015831947327,0.18711714446544647
69,0.009988309815526009,0.05207470804452896,0.08322402834892273,0.18162177503108978
70,0.009741781279444695,0.050500016659498215,0.08111730962991714,0.1800069808959961
71,0.010414519347250462,0.054267995059490204,0.08297014981508255,0.18255464732646942
72,0.009607099927961826,0.05119716748595238,0.07980817556381226,0.17877519130706787
73,0.01009410247206688,0.05323217436671257,0.08410478383302689,0.1850467175245285
